DatasetName Sushi_xsc[pb] Sushi_xsc_err[pb]
HToZATo2L2B_200p00_50p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.296444983 0.00135472358
HToZATo2L2B_200p00_100p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.296444983 0.00135472358
HToZATo2L2B_250p00_50p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.106465686 0.000495346145
HToZATo2L2B_250p00_100p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.106465686 0.000495346145
HToZATo2L2B_300p00_50p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0457280664 0.000210721884
HToZATo2L2B_300p00_100p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0457280664 0.000210721884
HToZATo2L2B_300p00_200p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0457280664 0.000210721884
HToZATo2L2B_500p00_50p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00416260475 1.70597927e-05
HToZATo2L2B_500p00_100p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00416260475 1.70597927e-05
HToZATo2L2B_500p00_200p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00416260475 1.70597927e-05
HToZATo2L2B_500p00_300p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00416260475 1.70597927e-05
HToZATo2L2B_500p00_400p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00416260475 1.70597927e-05
HToZATo2L2B_650p00_50p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00118512103 4.24981429e-06
HToZATo2L2B_800p00_50p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000426499625 1.34188823e-06
HToZATo2L2B_800p00_100p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000426499625 1.34188823e-06
HToZATo2L2B_800p00_200p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000426499625 1.34188823e-06
HToZATo2L2B_800p00_400p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000426499625 1.34188823e-06
HToZATo2L2B_800p00_700p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000426499625 1.34188823e-06
HToZATo2L2B_1000p00_50p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000135923129 3.64546965e-07
HToZATo2L2B_1000p00_200p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000135923129 3.64546965e-07
HToZATo2L2B_1000p00_500p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000135923129 3.64546965e-07
HToZATo2L2B_132p00_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 1.90048749 0.00809126442
HToZATo2L2B_132p00_37p34_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 1.90048749 0.00809126442
HToZATo2L2B_143p44_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 1.31821384 0.00572970346
HToZATo2L2B_143p44_37p34_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 1.31821384 0.00572970346
HToZATo2L2B_143p44_46p48_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 1.31821384 0.00572970346
HToZATo2L2B_157p77_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.863705658 0.00381064394
HToZATo2L2B_157p77_37p34_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.863705658 0.00381064394
HToZATo2L2B_157p77_46p48_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.863705658 0.00381064394
HToZATo2L2B_157p77_57p85_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.863705658 0.00381064394
HToZATo2L2B_173p52_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.563768775 0.00252623552
HToZATo2L2B_173p52_37p34_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.563768775 0.00252623552
HToZATo2L2B_173p52_46p48_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.563768775 0.00252623552
HToZATo2L2B_173p52_57p85_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.563768775 0.00252623552
HToZATo2L2B_173p52_72p01_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.563768775 0.00252623552
HToZATo2L2B_190p85_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.366669962 0.00166621242
HToZATo2L2B_190p85_37p34_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.366669962 0.00166621242
